0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
-1016.0,-11088.0,12984.0,173.0,286.0,-57.0,6608.0,7064.0,13660.0,-623.0,-43.0,-299.0,8676.0,-1248.0,13420.0,-584.0,659.0,-67.0
-1100.0,-10944.0,12892.0,200.0,277.0,33.0,6780.0,6808.0,13632.0,-470.0,-107.0,-295.0,8624.0,-1096.0,13664.0,-630.0,669.0,-76.0
-1112.0,-10976.0,13012.0,110.0,175.0,27.0,6764.0,6844.0,13788.0,-494.0,-106.0,-188.0,8740.0,-1132.0,13884.0,-602.0,615.0,-133.0
-1044.0,-11072.0,12936.0,-29.0,140.0,-25.0,6836.0,6960.0,13824.0,-612.0,-152.0,-133.0,8680.0,-924.0,13732.0,-354.0,626.0,-164.0
-1084.0,-11040.0,12904.0,-92.0,105.0,-36.0,6976.0,6868.0,13896.0,-713.0,-70.0,-25.0,8612.0,-1004.0,13732.0,-330.0,575.0,11.0
-948.0,-11068.0,12944.0,-45.0,73.0,116.0,6716.0,7068.0,13664.0,-684.0,-44.0,41.0,8688.0,-1124.0,13532.0,-379.0,524.0,53.0
-972.0,-10992.0,13000.0,-1.0,323.0,59.0,6660.0,7336.0,13856.0,-532.0,88.0,-284.0,8740.0,-1288.0,13676.0,-438.0,460.0,-60.0
-1040.0,-11000.0,12968.0,82.0,442.0,142.0,6796.0,6916.0,13840.0,-687.0,28.0,-331.0,8692.0,-1148.0,13572.0,-564.0,418.0,-26.0
-1012.0,-10928.0,12796.0,8.0,380.0,95.0,6728.0,6724.0,13444.0,-739.0,-26.0,-230.0,8680.0,-1068.0,13544.0,-487.0,483.0,-161.0
-984.0,-10960.0,12596.0,-23.0,336.0,40.0,6724.0,6736.0,13496.0,-614.0,-39.0,-198.0,8440.0,-864.0,13224.0,-420.0,536.0,-135.0
-1044.0,-10908.0,12592.0,46.0,261.0,40.0,6820.0,6460.0,13548.0,-652.0,-12.0,-222.0,8432.0,-808.0,13412.0,-447.0,630.0,-2.0
-1092.0,-10892.0,12652.0,2.0,149.0,66.0,6780.0,6360.0,13312.0,-526.0,-43.0,-139.0,8680.0,-828.0,13604.0,-391.0,615.0,-6.0
-1088.0,-10864.0,12644.0,-103.0,53.0,23.0,6740.0,6688.0,13652.0,-552.0,-69.0,98.0,8596.0,-928.0,13448.0,-353.0,598.0,-17.0
-1004.0,-10896.0,12628.0,-100.0,24.0,-29.0,6420.0,6916.0,13448.0,-727.0,-179.0,27.0,8588.0,-1064.0,13212.0,-305.0,560.0,-29.0
-988.0,-10928.0,12688.0,46.0,201.0,-77.0,6512.0,6880.0,13560.0,-621.0,-141.0,-179.0,8512.0,-888.0,13228.0,-415.0,662.0,-28.0
-1136.0,-10920.0,12644.0,166.0,207.0,59.0,6744.0,6764.0,13820.0,-533.0,-15.0,-206.0,8580.0,-960.0,13240.0,-410.0,626.0,158.0
-1140.0,-10908.0,12652.0,70.0,136.0,23.0,6652.0,6688.0,13528.0,-645.0,-75.0,-117.0,8764.0,-1148.0,13592.0,-405.0,718.0,26.0
-1028.0,-10840.0,12772.0,-50.0,54.0,-71.0,6564.0,6808.0,13528.0,-617.0,-198.0,-11.0,8724.0,-992.0,13736.0,-261.0,730.0,-92.0
-1068.0,-10940.0,12752.0,-208.0,39.0,-190.0,6804.0,6756.0,13620.0,-779.0,-318.0,42.0,8604.0,-1064.0,13476.0,-119.0,742.0,-224.0
-988.0,-10944.0,12664.0,-257.0,-12.0,-156.0,6836.0,6792.0,13596.0,-835.0,-300.0,91.0,8636.0,-968.0,13584.0,-240.0,578.0,-250.0
-988.0,-11032.0,12640.0,-82.0,259.0,-83.0,6648.0,7028.0,13668.0,-755.0,-109.0,-92.0,8464.0,-856.0,12932.0,-466.0,494.0,-167.0
-1036.0,-11032.0,12632.0,154.0,322.0,28.0,6600.0,6764.0,13416.0,-714.0,81.0,-354.0,8432.0,-956.0,13204.0,-624.0,614.0,-111.0
-1176.0,-10788.0,12668.0,204.0,314.0,45.0,6640.0,6480.0,13336.0,-510.0,30.0,-290.0,8640.0,-928.0,13616.0,-710.0,647.0,36.0
-1184.0,-10632.0,12656.0,-114.0,90.0,-55.0,6704.0,6604.0,13536.0,-654.0,-247.0,2.0,8780.0,-1164.0,13636.0,-200.0,667.0,-173.0
-1148.0,-10896.0,12616.0,-266.0,-42.0,-224.0,6524.0,6748.0,13468.0,-856.0,-438.0,164.0,8496.0,-628.0,13208.0,73.0,798.0,-263.0
-660.0,-11040.0,12580.0,-80.0,-667.0,71.0,6708.0,6632.0,13308.0,-724.0,-399.0,51.0,8556.0,-1316.0,13992.0,173.0,1241.0,-223.0
-920.0,-11196.0,12992.0,-57.0,21.0,-145.0,6908.0,6728.0,13644.0,-636.0,-258.0,21.0,8524.0,-952.0,13344.0,-450.0,771.0,-68.0
-948.0,-11184.0,12652.0,174.0,104.0,-63.0,6920.0,6664.0,13660.0,-473.0,-163.0,-102.0,8512.0,-688.0,13520.0,-359.0,789.0,302.0
-952.0,-11068.0,12536.0,156.0,-68.0,76.0,6800.0,6728.0,13644.0,-394.0,-134.0,-62.0,8772.0,-1264.0,13524.0,-456.0,753.0,76.0
-1300.0,-10988.0,13092.0,152.0,148.0,164.0,6708.0,6844.0,13772.0,-371.0,-114.0,-60.0,8612.0,-836.0,13080.0,-971.0,1133.0,114.0
-1136.0,-10860.0,12708.0,217.0,-118.0,78.0,6724.0,6704.0,13504.0,-482.0,-266.0,34.0,8660.0,-1352.0,13668.0,-502.0,1000.0,48.0
-1212.0,-10748.0,12864.0,-32.0,-342.0,-122.0,6624.0,6912.0,13548.0,-343.0,-367.0,204.0,8712.0,-1168.0,13732.0,-154.0,988.0,-63.0
-1160.0,-10744.0,12872.0,-186.0,-291.0,-177.0,6696.0,7040.0,13996.0,-614.0,-421.0,228.0,8776.0,-1092.0,13864.0,138.0,689.0,161.0
-1100.0,-10892.0,12928.0,-308.0,-230.0,-99.0,6904.0,7060.0,14084.0,-833.0,-371.0,349.0,8608.0,-1480.0,13832.0,-66.0,785.0,-186.0
-1204.0,-10932.0,13144.0,-207.0,-197.0,114.0,6896.0,6904.0,13820.0,-715.0,-134.0,541.0,8568.0,-1124.0,13140.0,-276.0,756.0,165.0
-1036.0,-10936.0,13108.0,-70.0,-110.0,139.0,6796.0,6908.0,13768.0,-720.0,-281.0,197.0,8544.0,-684.0,14328.0,322.0,577.0,301.0
-996.0,-10804.0,12828.0,-191.0,-190.0,198.0,7192.0,6748.0,14048.0,-852.0,-229.0,484.0,8788.0,-1344.0,14020.0,148.0,355.0,411.0
-900.0,-10960.0,12820.0,-704.0,-213.0,247.0,7092.0,6840.0,14064.0,-1170.0,-106.0,701.0,8508.0,-492.0,14060.0,609.0,349.0,71.0
-904.0,-11120.0,12504.0,-706.0,-491.0,341.0,7348.0,6344.0,13612.0,-915.0,-103.0,683.0,8176.0,-400.0,14080.0,614.0,376.0,608.0
-1128.0,-11060.0,12616.0,-601.0,-896.0,751.0,8056.0,5796.0,14328.0,-1333.0,255.0,1307.0,8272.0,420.0,15496.0,1326.0,-451.0,1773.0
-916.0,-11120.0,12704.0,-1188.0,-1480.0,1176.0,7856.0,5968.0,14016.0,-1357.0,300.0,2240.0,8848.0,-952.0,14344.0,2008.0,-543.0,1354.0
